freq,ref_ind_s,ref_ind_f,bf,delta_N_s,delta_N_f,bf_err
2.98E+011,3.08E+000,3.04E+000,0.044218,4.65E-004,6.33E-004,0.0007850069
3.03E+011,3.08E+000,3.04E+000,0.043793,4.87E-004,5.93E-004,0.0007677841
3.08E+011,3.08E+000,3.04E+000,0.04342,3.98E-004,5.53E-004,0.0006816526
3.13E+011,3.08E+000,3.04E+000,0.043123,4.91E-004,5.56E-004,0.0007417749
3.18E+011,3.08E+000,3.04E+000,0.042911,4.06E-004,6.31E-004,0.0007497922
3.22E+011,3.08E+000,3.04E+000,0.042783,4.00E-004,5.65E-004,0.0006921562
3.27E+011,3.08E+000,3.04E+000,0.042728,4.41E-004,5.46E-004,0.0007016652
3.32E+011,3.08E+000,3.04E+000,0.042728,3.61E-004,5.51E-004,0.0006586546
3.37E+011,3.08E+000,3.04E+000,0.042763,4.42E-004,5.45E-004,0.0007016517
3.42E+011,3.08E+000,3.04E+000,0.042816,3.81E-004,6.71E-004,0.0007716268
3.47E+011,3.08E+000,3.04E+000,0.042876,3.84E-004,5.50E-004,0.0006706432
3.52E+011,3.08E+000,3.04E+000,0.04294,4.31E-004,5.73E-004,0.0007171324
3.57E+011,3.08E+000,3.04E+000,0.043014,3.86E-004,7.22E-004,0.0008184765
3.62E+011,3.08E+000,3.04E+000,0.043107,3.85E-004,5.84E-004,0.0006996784
3.66E+011,3.08E+000,3.04E+000,0.043225,3.62E-004,7.12E-004,0.0007990944
3.71E+011,3.08E+000,3.04E+000,0.043368,3.77E-004,5.88E-004,0.0006982178
3.76E+011,3.08E+000,3.04E+000,0.043531,3.45E-004,5.40E-004,0.0006412583
3.81E+011,3.08E+000,3.04E+000,0.043699,3.64E-004,7.41E-004,0.0008261299
3.86E+011,3.08E+000,3.04E+000,0.043854,3.41E-004,5.04E-004,0.000608663
3.91E+011,3.08E+000,3.04E+000,0.043979,3.23E-004,5.54E-004,0.0006411764
3.96E+011,3.08E+000,3.04E+000,0.044062,4.23E-004,6.37E-004,0.0007649709
4.01E+011,3.08E+000,3.04E+000,0.044095,3.47E-004,5.19E-004,0.0006242374
4.05E+011,3.08E+000,3.04E+000,0.04408,4.20E-004,6.61E-004,0.0007832628
4.10E+011,3.08E+000,3.04E+000,0.04403,4.90E-004,5.64E-004,0.0007473763
4.15E+011,3.08E+000,3.04E+000,0.043961,3.87E-004,5.51E-004,0.0006733917
4.20E+011,3.08E+000,3.04E+000,0.043893,5.17E-004,7.10E-004,0.0008783341
4.25E+011,3.08E+000,3.04E+000,0.043839,4.25E-004,5.68E-004,0.00070942
4.30E+011,3.08E+000,3.04E+000,0.043807,3.81E-004,5.61E-004,0.0006780292
4.35E+011,3.08E+000,3.04E+000,0.043792,4.51E-004,5.92E-004,0.0007441631
4.40E+011,3.08E+000,3.04E+000,0.043787,3.23E-004,6.02E-004,0.0006829441
4.45E+011,3.08E+000,3.04E+000,0.043777,3.42E-004,5.97E-004,0.0006876931
4.49E+011,3.08E+000,3.04E+000,0.043756,3.29E-004,5.34E-004,0.0006270694
4.54E+011,3.08E+000,3.04E+000,0.043719,2.91E-004,5.59E-004,0.0006298376
4.59E+011,3.08E+000,3.04E+000,0.043672,3.45E-004,5.86E-004,0.0006795747
4.64E+011,3.08E+000,3.04E+000,0.043626,3.20E-004,6.59E-004,0.000732697
4.69E+011,3.08E+000,3.04E+000,0.043597,3.40E-004,5.51E-004,0.000647709
4.74E+011,3.08E+000,3.04E+000,0.043596,3.64E-004,5.51E-004,0.0006606641
4.79E+011,3.08E+000,3.04E+000,0.043631,3.93E-004,6.99E-004,0.0008014975
4.84E+011,3.08E+000,3.04E+000,0.0437,3.64E-004,5.77E-004,0.0006817653
4.89E+011,3.08E+000,3.04E+000,0.043796,3.69E-004,6.59E-004,0.0007549935
4.93E+011,3.08E+000,3.04E+000,0.043907,3.93E-004,5.91E-004,0.0007094826
4.98E+011,3.08E+000,3.04E+000,0.044022,3.26E-004,5.33E-004,0.0006247231
5.03E+011,3.08E+000,3.04E+000,0.044131,4.09E-004,7.34E-004,0.0008400573
5.08E+011,3.08E+000,3.04E+000,0.044229,3.52E-004,5.22E-004,0.0006296339
5.13E+011,3.08E+000,3.04E+000,0.044312,3.37E-004,5.42E-004,0.000638667
5.18E+011,3.08E+000,3.04E+000,0.044382,4.49E-004,6.98E-004,0.0008296224
5.23E+011,3.08E+000,3.04E+000,0.044443,3.36E-004,5.33E-004,0.0006301293
5.28E+011,3.08E+000,3.04E+000,0.044498,4.19E-004,6.64E-004,0.0007854123
5.32E+011,3.08E+000,3.04E+000,0.044549,4.15E-004,5.84E-004,0.0007160882
5.37E+011,3.08E+000,3.04E+000,0.044596,3.47E-004,5.33E-004,0.0006361061
5.42E+011,3.08E+000,3.04E+000,0.04464,4.63E-004,7.25E-004,0.0008608818
5.47E+011,3.08E+000,3.04E+000,0.044678,3.46E-004,5.34E-004,0.0006369175
5.52E+011,3.08E+000,3.04E+000,0.044709,3.63E-004,5.40E-004,0.0006504735
5.57E+011,3.08E+000,3.04E+000,0.044734,3.83E-004,6.30E-004,0.0007372631
5.62E+011,3.08E+000,3.04E+000,0.044757,3.33E-004,5.76E-004,0.0006654589
5.67E+011,3.08E+000,3.04E+000,0.044784,3.73E-004,6.20E-004,0.0007234209
5.72E+011,3.08E+000,3.04E+000,0.044825,3.32E-004,5.39E-004,0.0006328041
5.76E+011,3.08E+000,3.04E+000,0.044887,3.35E-004,5.65E-004,0.0006565403
5.81E+011,3.08E+000,3.04E+000,0.044976,3.41E-004,6.25E-004,0.00071218
5.86E+011,3.08E+000,3.04E+000,0.045094,3.68E-004,6.07E-004,0.0007096072
5.91E+011,3.08E+000,3.04E+000,0.045237,3.28E-004,5.37E-004,0.0006297322
5.96E+011,3.08E+000,3.04E+000,0.045401,3.42E-004,5.45E-004,0.0006438312
6.01E+011,3.08E+000,3.04E+000,0.045582,3.99E-004,6.50E-004,0.0007625452
6.06E+011,3.08E+000,3.04E+000,0.045774,3.28E-004,5.60E-004,0.0006493367
6.11E+011,3.08E+000,3.04E+000,0.045971,4.17E-004,5.68E-004,0.0007049914
6.16E+011,3.08E+000,3.04E+000,0.046166,3.65E-004,5.81E-004,0.0006859603
6.20E+011,3.08E+000,3.04E+000,0.046355,3.43E-004,5.32E-004,0.0006330046
6.25E+011,3.08E+000,3.04E+000,0.046531,4.55E-004,6.74E-004,0.0008133734
6.30E+011,3.08E+000,3.04E+000,0.046689,3.30E-004,5.09E-004,0.0006063673
6.35E+011,3.08E+000,3.04E+000,0.046825,3.78E-004,5.03E-004,0.0006294514
6.40E+011,3.08E+000,3.04E+000,0.046936,3.96E-004,6.91E-004,0.0007960625
6.45E+011,3.08E+000,3.04E+000,0.047022,3.11E-004,4.92E-004,0.0005816086
6.50E+011,3.08E+000,3.04E+000,0.047083,3.89E-004,5.74E-004,0.000693381
6.55E+011,3.08E+000,3.04E+000,0.047122,3.14E-004,5.94E-004,0.000671723
6.60E+011,3.09E+000,3.04E+000,0.047141,3.16E-004,5.11E-004,0.0006007692
6.64E+011,3.09E+000,3.04E+000,0.047147,3.60E-004,6.89E-004,0.000777429
6.69E+011,3.09E+000,3.04E+000,0.047145,3.40E-004,5.12E-004,0.0006148709
6.74E+011,3.09E+000,3.04E+000,0.047143,3.34E-004,5.22E-004,0.0006194207
6.79E+011,3.09E+000,3.04E+000,0.047147,3.32E-004,6.70E-004,0.0007474423
6.84E+011,3.09E+000,3.04E+000,0.047163,3.76E-004,5.57E-004,0.000671605
6.89E+011,3.09E+000,3.04E+000,0.047192,3.35E-004,5.70E-004,0.0006613187
6.94E+011,3.09E+000,3.04E+000,0.047234,3.95E-004,5.42E-004,0.0006706186
6.99E+011,3.09E+000,3.04E+000,0.047287,3.60E-004,5.69E-004,0.0006731606
7.03E+011,3.09E+000,3.04E+000,0.047347,3.38E-004,5.97E-004,0.0006856035
7.08E+011,3.09E+000,3.04E+000,0.047411,4.40E-004,5.35E-004,0.0006920922
7.13E+011,3.09E+000,3.04E+000,0.047476,3.30E-004,5.13E-004,0.0006102099
7.18E+011,3.09E+000,3.04E+000,0.047539,3.77E-004,5.37E-004,0.0006560488
7.23E+011,3.09E+000,3.04E+000,0.047598,4.04E-004,6.27E-004,0.0007460795
7.28E+011,3.09E+000,3.04E+000,0.047651,3.15E-004,5.10E-004,0.0005992798
7.33E+011,3.09E+000,3.04E+000,0.047695,4.14E-004,5.12E-004,0.0006580913
7.38E+011,3.09E+000,3.04E+000,0.04773,3.37E-004,6.45E-004,0.0007282332
7.43E+011,3.09E+000,3.04E+000,0.047755,3.20E-004,5.41E-004,0.0006283796
7.47E+011,3.09E+000,3.04E+000,0.047768,3.89E-004,6.40E-004,0.0007490678
7.52E+011,3.09E+000,3.04E+000,0.047771,3.07E-004,5.75E-004,0.0006518333
7.57E+011,3.09E+000,3.04E+000,0.047765,3.40E-004,5.24E-004,0.0006246571
7.62E+011,3.09E+000,3.04E+000,0.047754,3.22E-004,7.53E-004,0.000819184
7.67E+011,3.09E+000,3.04E+000,0.04774,3.14E-004,5.34E-004,0.0006199282
7.72E+011,3.09E+000,3.04E+000,0.047728,3.35E-004,5.50E-004,0.0006442342
7.77E+011,3.09E+000,3.04E+000,0.047723,3.30E-004,6.99E-004,0.0007725155
7.82E+011,3.09E+000,3.04E+000,0.047728,3.27E-004,5.30E-004,0.0006222456
7.87E+011,3.09E+000,3.04E+000,0.047744,3.16E-004,6.36E-004,0.0007099698
7.91E+011,3.09E+000,3.04E+000,0.047773,3.96E-004,5.35E-004,0.0006655102
7.96E+011,3.09E+000,3.04E+000,0.047813,3.20E-004,4.94E-004,0.000589247
8.01E+011,3.09E+000,3.04E+000,0.047864,3.62E-004,6.45E-004,0.0007393164
8.06E+011,3.09E+000,3.04E+000,0.047924,4.03E-004,4.98E-004,0.0006408883
8.11E+011,3.09E+000,3.04E+000,0.047992,3.27E-004,4.97E-004,0.0005955195
8.16E+011,3.09E+000,3.04E+000,0.048067,4.49E-004,5.63E-004,0.0007204099
8.21E+011,3.09E+000,3.04E+000,0.048147,3.73E-004,5.69E-004,0.000680664
8.26E+011,3.09E+000,3.04E+000,0.04823,3.50E-004,5.58E-004,0.0006589211
8.30E+011,3.09E+000,3.04E+000,0.048313,4.42E-004,5.20E-004,0.0006822795
8.35E+011,3.09E+000,3.04E+000,0.048392,3.25E-004,5.83E-004,0.0006670149
8.40E+011,3.09E+000,3.04E+000,0.048461,3.67E-004,5.71E-004,0.0006792738
8.45E+011,3.09E+000,3.04E+000,0.048518,3.56E-004,6.24E-004,0.0007184868
8.50E+011,3.09E+000,3.04E+000,0.048561,3.16E-004,5.24E-004,0.0006118207
8.55E+011,3.09E+000,3.04E+000,0.04859,3.67E-004,5.16E-004,0.0006330989
8.60E+011,3.09E+000,3.04E+000,0.048608,3.21E-004,6.94E-004,0.0007650015
8.65E+011,3.09E+000,3.04E+000,0.04862,3.20E-004,5.22E-004,0.0006124616
8.70E+011,3.09E+000,3.04E+000,0.048628,3.29E-004,5.78E-004,0.0006648827
8.74E+011,3.09E+000,3.04E+000,0.048638,3.68E-004,6.40E-004,0.0007381575
8.79E+011,3.09E+000,3.04E+000,0.04865,3.20E-004,5.35E-004,0.0006234351
8.84E+011,3.09E+000,3.04E+000,0.048667,3.48E-004,7.21E-004,0.0008008119
8.89E+011,3.09E+000,3.04E+000,0.048688,3.79E-004,5.47E-004,0.000665738
8.94E+011,3.09E+000,3.04E+000,0.048711,3.19E-004,5.28E-004,0.0006167077
8.99E+011,3.09E+000,3.04E+000,0.048736,4.25E-004,7.32E-004,0.000846539
9.04E+011,3.09E+000,3.04E+000,0.048761,3.41E-004,5.23E-004,0.0006242772
9.09E+011,3.09E+000,3.04E+000,0.048786,3.40E-004,5.67E-004,0.0006611621
9.14E+011,3.09E+000,3.04E+000,0.048812,4.24E-004,5.81E-004,0.0007195871
9.18E+011,3.09E+000,3.04E+000,0.048838,3.10E-004,5.21E-004,0.0006062956
9.23E+011,3.09E+000,3.04E+000,0.048864,3.81E-004,6.10E-004,0.0007195871
9.28E+011,3.09E+000,3.04E+000,0.048891,3.58E-004,4.93E-004,0.0006097108
9.33E+011,3.09E+000,3.04E+000,0.048916,3.15E-004,5.09E-004,0.0005984009
9.38E+011,3.09E+000,3.04E+000,0.048937,3.96E-004,5.89E-004,0.0007097522
9.43E+011,3.09E+000,3.04E+000,0.048954,3.23E-004,5.99E-004,0.0006804063
9.48E+011,3.09E+000,3.04E+000,0.048964,3.25E-004,5.29E-004,0.0006207073
9.53E+011,3.09E+000,3.04E+000,0.048969,3.39E-004,5.33E-004,0.0006320072
9.57E+011,3.09E+000,3.04E+000,0.04897,3.55E-004,6.71E-004,0.0007595305
9.62E+011,3.09E+000,3.04E+000,0.048971,3.25E-004,5.58E-004,0.0006459059
9.67E+011,3.09E+000,3.04E+000,0.048975,3.39E-004,6.06E-004,0.0006938666
9.72E+011,3.09E+000,3.04E+000,0.048983,3.62E-004,5.75E-004,0.0006795486
9.77E+011,3.09E+000,3.04E+000,0.048997,3.16E-004,5.19E-004,0.0006078609
9.82E+011,3.09E+000,3.04E+000,0.049016,4.09E-004,7.02E-004,0.0008127624
9.87E+011,3.09E+000,3.04E+000,0.049036,3.32E-004,4.94E-004,0.0005955219
9.92E+011,3.09E+000,3.04E+000,0.049053,3.41E-004,5.17E-004,0.0006193274
9.97E+011,3.09E+000,3.04E+000,0.049063,4.21E-004,6.65E-004,0.000787011
1.00E+012,3.09E+000,3.04E+000,0.049066,3.09E-004,5.04E-004,0.0005909524
1.01E+012,3.09E+000,3.04E+000,0.049061,3.92E-004,6.33E-004,0.0007448698
1.01E+012,3.09E+000,3.04E+000,0.049051,3.57E-004,5.51E-004,0.0006566647
1.02E+012,3.09E+000,3.04E+000,0.04904,3.02E-004,5.04E-004,0.0005875452
1.02E+012,3.09E+000,3.04E+000,0.049031,3.95E-004,6.98E-004,0.0008021037
1.03E+012,3.09E+000,3.04E+000,0.049029,3.03E-004,5.07E-004,0.0005908566
1.03E+012,3.09E+000,3.04E+000,0.049033,3.15E-004,5.15E-004,0.0006041346
1.04E+012,3.09E+000,3.04E+000,0.049044,3.52E-004,5.97E-004,0.0006928658
1.04E+012,3.09E+000,3.04E+000,0.04906,3.18E-004,5.47E-004,0.0006327861
1.05E+012,3.09E+000,3.04E+000,0.049079,3.43E-004,5.73E-004,0.0006676686
1.05E+012,3.09E+000,3.04E+000,0.049098,3.25E-004,5.10E-004,0.0006048619
1.06E+012,3.09E+000,3.04E+000,0.049116,3.40E-004,5.61E-004,0.0006559655
1.06E+012,3.09E+000,3.04E+000,0.049132,3.24E-004,5.92E-004,0.0006748489
1.06E+012,3.09E+000,3.04E+000,0.049148,3.90E-004,6.09E-004,0.0007232475
1.07E+012,3.09E+000,3.04E+000,0.049165,3.18E-004,5.28E-004,0.0006160474
1.07E+012,3.09E+000,3.04E+000,0.049183,3.35E-004,5.28E-004,0.0006251882
1.08E+012,3.09E+000,3.04E+000,0.049203,4.12E-004,6.81E-004,0.0007957541
1.08E+012,3.09E+000,3.04E+000,0.049221,3.18E-004,5.13E-004,0.0006033458
1.09E+012,3.09E+000,3.04E+000,0.049236,4.08E-004,5.57E-004,0.0006904949
1.09E+012,3.09E+000,3.04E+000,0.049243,3.93E-004,5.82E-004,0.0007019723
1.10E+012,3.09E+000,3.04E+000,0.049242,3.41E-004,4.90E-004,0.0005963879
1.10E+012,3.09E+000,3.04E+000,0.04923,4.64E-004,6.66E-004,0.0008115768
1.11E+012,3.09E+000,3.04E+000,0.049211,3.47E-004,5.03E-004,0.000611727
1.11E+012,3.09E+000,3.04E+000,0.049189,3.74E-004,5.00E-004,0.0006244098
1.12E+012,3.09E+000,3.04E+000,0.049167,3.90E-004,7.00E-004,0.0008013628
1.12E+012,3.09E+000,3.04E+000,0.049151,3.30E-004,5.21E-004,0.0006164302
1.13E+012,3.09E+000,3.04E+000,0.049142,3.73E-004,6.07E-004,0.0007121911
1.13E+012,3.09E+000,3.04E+000,0.049141,3.14E-004,5.80E-004,0.0006592447
1.14E+012,3.09E+000,3.04E+000,0.049145,3.08E-004,5.23E-004,0.0006071723
1.14E+012,3.09E+000,3.04E+000,0.049151,3.15E-004,6.73E-004,0.0007429521
1.15E+012,3.09E+000,3.04E+000,0.049157,3.31E-004,5.01E-004,0.0006006592
1.15E+012,3.09E+000,3.04E+000,0.049161,3.04E-004,4.97E-004,0.0005830897
1.16E+012,3.09E+000,3.04E+000,0.049164,3.20E-004,5.77E-004,0.0006598515
1.16E+012,3.09E+000,3.04E+000,0.049167,3.78E-004,5.61E-004,0.0006768958
1.17E+012,3.09E+000,3.04E+000,0.049172,3.20E-004,5.36E-004,0.0006245164
1.17E+012,3.09E+000,3.04E+000,0.049183,4.26E-004,5.11E-004,0.0006655732
1.18E+012,3.09E+000,3.04E+000,0.049202,3.81E-004,6.08E-004,0.00071715
1.18E+012,3.09E+000,3.04E+000,0.049227,3.43E-004,5.55E-004,0.0006523715
1.19E+012,3.09E+000,3.04E+000,0.049258,4.49E-004,6.19E-004,0.0007645248
1.19E+012,3.09E+000,3.04E+000,0.049289,3.25E-004,5.49E-004,0.0006382049
1.20E+012,3.09E+000,3.04E+000,0.049315,3.65E-004,5.03E-004,0.0006218059
1.20E+012,3.09E+000,3.04E+000,0.049333,3.67E-004,6.90E-004,0.0007817516
1.21E+012,3.09E+000,3.04E+000,0.049339,3.00E-004,4.89E-004,0.0005734485
1.21E+012,3.09E+000,3.04E+000,0.049332,3.55E-004,5.04E-004,0.0006164745
1.22E+012,3.09E+000,3.04E+000,0.049315,3.03E-004,6.16E-004,0.0006869902
1.22E+012,3.09E+000,3.04E+000,0.04929,3.05E-004,4.74E-004,0.0005633651
1.23E+012,3.09E+000,3.04E+000,0.049262,3.23E-004,6.14E-004,0.0006937999
1.23E+012,3.09E+000,3.04E+000,0.049235,3.50E-004,5.10E-004,0.000618268
1.24E+012,3.09E+000,3.04E+000,0.049211,3.32E-004,4.77E-004,0.0005810978
1.24E+012,3.09E+000,3.04E+000,0.049193,3.51E-004,6.68E-004,0.0007549295
1.25E+012,3.09E+000,3.04E+000,0.04918,3.98E-004,5.11E-004,0.0006476903
1.25E+012,3.09E+000,3.04E+000,0.049173,3.49E-004,5.49E-004,0.000650459
1.26E+012,3.09E+000,3.04E+000,0.049173,4.40E-004,5.65E-004,0.0007162253
1.26E+012,3.09E+000,3.04E+000,0.049178,3.60E-004,5.32E-004,0.000642354
1.27E+012,3.09E+000,3.04E+000,0.049191,3.60E-004,6.33E-004,0.0007286733
1.27E+012,3.09E+000,3.04E+000,0.049211,4.28E-004,5.20E-004,0.0006729306
1.28E+012,3.09E+000,3.04E+000,0.049238,3.15E-004,5.11E-004,0.0005997673
1.28E+012,3.09E+000,3.04E+000,0.04927,4.01E-004,5.66E-004,0.0006936806
1.28E+012,3.09E+000,3.04E+000,0.049304,3.45E-004,6.11E-004,0.0007013121
1.29E+012,3.09E+000,3.04E+000,0.049337,3.08E-004,5.31E-004,0.000613771
1.29E+012,3.09E+000,3.04E+000,0.049364,3.89E-004,5.19E-004,0.0006486016
1.30E+012,3.09E+000,3.04E+000,0.049381,2.94E-004,6.15E-004,0.0006813017
1.30E+012,3.09E+000,3.04E+000,0.049387,3.29E-004,5.41E-004,0.0006332007
1.31E+012,3.09E+000,3.04E+000,0.049381,3.30E-004,6.39E-004,0.0007192768
1.31E+012,3.09E+000,3.04E+000,0.049367,3.07E-004,5.42E-004,0.0006225901
1.32E+012,3.09E+000,3.04E+000,0.049348,3.27E-004,5.11E-004,0.0006061576
1.32E+012,3.09E+000,3.04E+000,0.049329,3.18E-004,7.25E-004,0.0007919315
1.33E+012,3.09E+000,3.04E+000,0.049311,3.25E-004,5.05E-004,0.0006010031
1.33E+012,3.09E+000,3.04E+000,0.049297,3.17E-004,5.62E-004,0.0006449279
1.34E+012,3.09E+000,3.04E+000,0.049287,4.00E-004,6.42E-004,0.0007569652
1.34E+012,3.09E+000,3.05E+000,0.049279,3.33E-004,5.21E-004,0.0006185142
1.35E+012,3.09E+000,3.05E+000,0.049271,3.67E-004,6.78E-004,0.0007709138
1.35E+012,3.09E+000,3.05E+000,0.049264,4.15E-004,5.23E-004,0.0006676638
1.36E+012,3.09E+000,3.05E+000,0.049259,3.23E-004,5.14E-004,0.0006068835
1.36E+012,3.09E+000,3.05E+000,0.049258,4.31E-004,6.79E-004,0.0008037723
1.37E+012,3.09E+000,3.05E+000,0.049263,3.61E-004,5.52E-004,0.0006595574
1.37E+012,3.09E+000,3.05E+000,0.049276,3.29E-004,5.71E-004,0.0006586642
1.38E+012,3.09E+000,3.05E+000,0.049297,4.25E-004,5.61E-004,0.0007042495
1.38E+012,3.09E+000,3.05E+000,0.049324,3.08E-004,5.71E-004,0.0006488339
1.39E+012,3.09E+000,3.05E+000,0.049353,3.56E-004,6.32E-004,0.0007256587
1.39E+012,3.09E+000,3.05E+000,0.049377,3.47E-004,5.49E-004,0.0006499699
