freq,ref_ind_s,ref_ind_f,bf,delta_N_s,delta_N_f,bf_err
1.40E+012,3.09E+000,3.05E+000,0.049392,3.04E-004,5.24E-004,0.0006055755
1.40E+012,3.10E+000,3.05E+000,0.049395,3.83E-004,5.54E-004,0.0006733708
1.41E+012,3.10E+000,3.05E+000,0.049384,3.31E-004,6.43E-004,0.0007234344
1.41E+012,3.10E+000,3.05E+000,0.049363,3.46E-004,5.31E-004,0.0006340747
1.42E+012,3.10E+000,3.05E+000,0.049337,3.56E-004,5.35E-004,0.0006427682
1.42E+012,3.10E+000,3.05E+000,0.049312,3.96E-004,6.24E-004,0.0007389093
1.43E+012,3.10E+000,3.05E+000,0.049296,3.60E-004,5.23E-004,0.0006354264
1.43E+012,3.10E+000,3.05E+000,0.049291,3.85E-004,6.65E-004,0.0007682646
1.44E+012,3.10E+000,3.05E+000,0.0493,3.99E-004,5.24E-004,0.0006583877
1.44E+012,3.10E+000,3.05E+000,0.049318,3.39E-004,4.85E-004,0.0005915911
1.45E+012,3.10E+000,3.05E+000,0.049343,4.51E-004,6.85E-004,0.0008200528
1.45E+012,3.10E+000,3.05E+000,0.049368,3.47E-004,4.80E-004,0.0005926334
1.46E+012,3.10E+000,3.05E+000,0.049391,3.62E-004,5.32E-004,0.000642884
1.46E+012,3.10E+000,3.05E+000,0.049408,4.36E-004,5.74E-004,0.0007213075
1.47E+012,3.10E+000,3.05E+000,0.04942,3.32E-004,4.99E-004,0.0005999856
1.47E+012,3.10E+000,3.05E+000,0.049427,4.30E-004,6.31E-004,0.0007640257
1.48E+012,3.10E+000,3.05E+000,0.049433,3.67E-004,4.96E-004,0.0006174985
1.48E+012,3.10E+000,3.05E+000,0.049436,3.56E-004,5.09E-004,0.0006207983
1.49E+012,3.10E+000,3.05E+000,0.049437,4.36E-004,6.11E-004,0.0007502953
1.49E+012,3.10E+000,3.05E+000,0.049432,3.59E-004,5.82E-004,0.00068383
1.49E+012,3.10E+000,3.05E+000,0.049421,3.71E-004,5.75E-004,0.00068455
1.50E+012,3.10E+000,3.05E+000,0.0494,3.56E-004,5.23E-004,0.0006328266
1.50E+012,3.10E+000,3.05E+000,0.049371,3.56E-004,5.64E-004,0.0006669894
1.51E+012,3.10E+000,3.05E+000,0.049336,3.44E-004,5.72E-004,0.0006674516
1.51E+012,3.10E+000,3.05E+000,0.049302,3.53E-004,5.91E-004,0.0006880255
1.52E+012,3.10E+000,3.05E+000,0.049274,3.22E-004,4.95E-004,0.0005908563
1.52E+012,3.10E+000,3.05E+000,0.049259,3.21E-004,4.93E-004,0.0005882149
1.53E+012,3.10E+000,3.05E+000,0.049262,3.95E-004,6.30E-004,0.0007436945
1.53E+012,3.10E+000,3.05E+000,0.049283,3.16E-004,4.88E-004,0.0005808886
1.54E+012,3.10E+000,3.05E+000,0.049319,3.95E-004,5.41E-004,0.000669859
1.54E+012,3.10E+000,3.05E+000,0.049363,3.81E-004,5.75E-004,0.0006897993
1.55E+012,3.10E+000,3.05E+000,0.049406,3.38E-004,4.94E-004,0.0005988005
1.55E+012,3.10E+000,3.05E+000,0.049442,4.54E-004,6.87E-004,0.0008237699
1.56E+012,3.10E+000,3.05E+000,0.049466,3.54E-004,5.13E-004,0.0006230004
1.56E+012,3.10E+000,3.05E+000,0.049477,3.66E-004,5.03E-004,0.0006221365
1.57E+012,3.10E+000,3.05E+000,0.049477,3.85E-004,6.99E-004,0.0007978118
1.57E+012,3.10E+000,3.05E+000,0.049473,3.10E-004,5.27E-004,0.0006113423
1.58E+012,3.10E+000,3.05E+000,0.04947,3.52E-004,5.84E-004,0.0006817482
1.58E+012,3.10E+000,3.05E+000,0.049471,2.90E-004,5.60E-004,0.0006311632
1.59E+012,3.10E+000,3.05E+000,0.049478,2.85E-004,5.34E-004,0.000605381
1.59E+012,3.10E+000,3.05E+000,0.049489,2.99E-004,6.40E-004,0.0007061661
1.60E+012,3.10E+000,3.05E+000,0.049501,3.24E-004,5.24E-004,0.0006160324
1.60E+012,3.10E+000,3.05E+000,0.049508,3.06E-004,5.06E-004,0.0005911603
1.61E+012,3.10E+000,3.05E+000,0.049508,3.22E-004,5.54E-004,0.000640426
1.61E+012,3.10E+000,3.05E+000,0.0495,3.90E-004,6.12E-004,0.0007256705
1.62E+012,3.10E+000,3.05E+000,0.049488,3.32E-004,5.50E-004,0.0006425493
1.62E+012,3.10E+000,3.05E+000,0.049476,4.19E-004,5.30E-004,0.000675266
1.63E+012,3.10E+000,3.05E+000,0.04947,3.49E-004,5.57E-004,0.0006568739
1.63E+012,3.10E+000,3.05E+000,0.049473,3.38E-004,5.30E-004,0.0006286942
1.64E+012,3.10E+000,3.05E+000,0.049488,4.08E-004,6.21E-004,0.0007431933
1.64E+012,3.10E+000,3.05E+000,0.049513,3.13E-004,4.82E-004,0.0005749279
1.65E+012,3.10E+000,3.05E+000,0.049543,3.89E-004,4.72E-004,0.0006114979
1.65E+012,3.10E+000,3.05E+000,0.049574,3.71E-004,6.26E-004,0.0007276935
1.66E+012,3.10E+000,3.05E+000,0.049598,3.36E-004,4.91E-004,0.0005944842
1.66E+012,3.10E+000,3.05E+000,0.049612,4.47E-004,5.73E-004,0.000726667
1.67E+012,3.10E+000,3.05E+000,0.049614,3.66E-004,5.74E-004,0.0006813101
1.67E+012,3.10E+000,3.05E+000,0.049609,3.77E-004,4.93E-004,0.0006209149
1.68E+012,3.10E+000,3.05E+000,0.049601,3.85E-004,7.03E-004,0.0008020491
1.68E+012,3.10E+000,3.05E+000,0.049598,3.82E-004,5.31E-004,0.0006536548
1.69E+012,3.10E+000,3.05E+000,0.049601,3.68E-004,5.39E-004,0.0006528664
1.69E+012,3.10E+000,3.05E+000,0.049611,3.75E-004,6.11E-004,0.0007169347
1.70E+012,3.10E+000,3.05E+000,0.049625,3.78E-004,5.36E-004,0.0006556606
1.70E+012,3.10E+000,3.05E+000,0.049638,3.38E-004,5.89E-004,0.0006788386
1.70E+012,3.10E+000,3.05E+000,0.049645,4.23E-004,4.94E-004,0.0006504819
1.71E+012,3.10E+000,3.05E+000,0.049646,3.67E-004,5.13E-004,0.0006308035
1.71E+012,3.10E+000,3.05E+000,0.049639,3.81E-004,5.84E-004,0.0006973389
1.72E+012,3.10E+000,3.05E+000,0.049629,4.52E-004,6.01E-004,0.0007521326
1.72E+012,3.10E+000,3.05E+000,0.04962,3.64E-004,5.52E-004,0.0006610074
1.73E+012,3.10E+000,3.05E+000,0.049619,4.80E-004,5.55E-004,0.0007338047
1.73E+012,3.10E+000,3.05E+000,0.049629,4.09E-004,7.50E-004,0.0008545177
1.74E+012,3.10E+000,3.05E+000,0.049649,3.94E-004,5.94E-004,0.0007124371
1.74E+012,3.10E+000,3.05E+000,0.049676,4.53E-004,6.64E-004,0.0008036404
1.75E+012,3.10E+000,3.05E+000,0.049704,3.68E-004,6.57E-004,0.0007526141
1.75E+012,3.10E+000,3.05E+000,0.049726,4.01E-004,5.73E-004,0.0006991622
1.76E+012,3.10E+000,3.05E+000,0.049742,3.53E-004,7.62E-004,0.0008397369
1.76E+012,3.10E+000,3.05E+000,0.04975,3.42E-004,5.47E-004,0.0006455837
1.77E+012,3.10E+000,3.05E+000,0.049755,3.55E-004,5.55E-004,0.0006593014
1.77E+012,3.10E+000,3.05E+000,0.04976,3.66E-004,6.57E-004,0.0007519385
1.78E+012,3.10E+000,3.05E+000,0.049774,3.49E-004,5.08E-004,0.0006160127
1.78E+012,3.10E+000,3.05E+000,0.049799,3.56E-004,6.41E-004,0.000733273
1.79E+012,3.10E+000,3.05E+000,0.049838,4.48E-004,5.26E-004,0.0006912694
1.79E+012,3.10E+000,3.05E+000,0.049885,3.97E-004,5.02E-004,0.0006399696
1.80E+012,3.10E+000,3.05E+000,0.049933,5.05E-004,6.60E-004,0.0008311551
1.80E+012,3.10E+000,3.05E+000,0.049972,4.60E-004,5.65E-004,0.0007284638
1.81E+012,3.10E+000,3.05E+000,0.049995,4.24E-004,5.91E-004,0.0007276158
1.81E+012,3.10E+000,3.05E+000,0.049998,5.38E-004,5.94E-004,0.0008016705
1.82E+012,3.10E+000,3.05E+000,0.049982,4.03E-004,6.61E-004,0.0007745177
1.82E+012,3.10E+000,3.05E+000,0.049953,4.31E-004,6.59E-004,0.0007879818
1.83E+012,3.10E+000,3.05E+000,0.049919,4.46E-004,6.52E-004,0.0007898508
1.83E+012,3.10E+000,3.05E+000,0.04989,3.79E-004,6.29E-004,0.0007343705
1.84E+012,3.10E+000,3.05E+000,0.049872,4.16E-004,6.16E-004,0.0007431552
1.84E+012,3.10E+000,3.05E+000,0.049867,3.74E-004,7.90E-004,0.0008739362
1.85E+012,3.10E+000,3.05E+000,0.049875,3.79E-004,5.87E-004,0.0006983567
1.85E+012,3.10E+000,3.05E+000,0.049892,3.83E-004,6.01E-004,0.0007126432
1.86E+012,3.10E+000,3.05E+000,0.049911,4.14E-004,7.41E-004,0.0008491325
1.86E+012,3.10E+000,3.05E+000,0.049929,3.80E-004,5.65E-004,0.000680714
1.87E+012,3.10E+000,3.05E+000,0.049941,3.88E-004,7.02E-004,0.0008023618
1.87E+012,3.10E+000,3.05E+000,0.049949,4.32E-004,6.00E-004,0.0007392961
1.88E+012,3.10E+000,3.05E+000,0.049956,3.60E-004,5.74E-004,0.0006776216
1.88E+012,3.10E+000,3.05E+000,0.049967,4.57E-004,7.73E-004,0.0008981211
1.89E+012,3.10E+000,3.05E+000,0.049987,3.98E-004,6.03E-004,0.0007226218
1.89E+012,3.10E+000,3.05E+000,0.050017,4.56E-004,6.64E-004,0.000805827
1.90E+012,3.10E+000,3.05E+000,0.050056,4.90E-004,6.16E-004,0.0007867597
1.90E+012,3.10E+000,3.05E+000,0.0501,4.53E-004,6.05E-004,0.0007553988
1.91E+012,3.10E+000,3.05E+000,0.050143,5.45E-004,7.15E-004,0.0008993237
1.91E+012,3.10E+000,3.05E+000,0.050181,4.55E-004,6.03E-004,0.0007553711
1.91E+012,3.11E+000,3.05E+000,0.050208,4.35E-004,5.95E-004,0.0007369847
1.92E+012,3.11E+000,3.05E+000,0.050224,4.85E-004,6.47E-004,0.0008081208
1.92E+012,3.11E+000,3.06E+000,0.050232,3.97E-004,6.93E-004,0.0007989676
1.93E+012,3.11E+000,3.06E+000,0.050238,3.75E-004,5.84E-004,0.0006940986
1.93E+012,3.11E+000,3.06E+000,0.050246,3.77E-004,5.59E-004,0.0006744146
1.94E+012,3.11E+000,3.06E+000,0.050261,4.19E-004,6.63E-004,0.0007843204
1.94E+012,3.11E+000,3.06E+000,0.050281,3.69E-004,5.51E-004,0.0006626777
1.95E+012,3.11E+000,3.06E+000,0.050305,4.29E-004,6.63E-004,0.0007899132
1.95E+012,3.11E+000,3.06E+000,0.050327,4.20E-004,5.45E-004,0.0006876543
1.96E+012,3.11E+000,3.06E+000,0.05034,3.98E-004,5.20E-004,0.0006547696
1.96E+012,3.11E+000,3.06E+000,0.050341,4.96E-004,6.72E-004,0.0008354853
1.97E+012,3.11E+000,3.06E+000,0.05033,4.01E-004,5.11E-004,0.0006495204
1.97E+012,3.11E+000,3.06E+000,0.050308,4.54E-004,5.53E-004,0.0007158199
1.98E+012,3.11E+000,3.06E+000,0.050283,5.14E-004,6.25E-004,0.0008089347
1.98E+012,3.11E+000,3.06E+000,0.050259,4.64E-004,5.52E-004,0.0007207421
1.99E+012,3.11E+000,3.06E+000,0.050244,5.41E-004,6.80E-004,0.0008690385
1.99E+012,3.11E+000,3.06E+000,0.050243,4.81E-004,5.76E-004,0.0007506216
2.00E+012,3.11E+000,3.06E+000,0.050256,4.73E-004,5.79E-004,0.000747766
2.00E+012,3.11E+000,3.06E+000,0.050284,4.48E-004,6.76E-004,0.0008110326
2.01E+012,3.11E+000,3.06E+000,0.050323,4.14E-004,6.65E-004,0.0007833971
2.01E+012,3.11E+000,3.06E+000,0.050369,3.89E-004,6.30E-004,0.0007406042
2.02E+012,3.11E+000,3.06E+000,0.050418,4.04E-004,5.89E-004,0.0007142061
2.02E+012,3.11E+000,3.06E+000,0.050465,4.33E-004,6.23E-004,0.0007584574
2.03E+012,3.11E+000,3.06E+000,0.050508,4.22E-004,6.19E-004,0.0007490477
2.03E+012,3.11E+000,3.06E+000,0.050544,4.99E-004,7.13E-004,0.0008703724
2.04E+012,3.11E+000,3.06E+000,0.050572,4.41E-004,5.78E-004,0.0007266897
2.04E+012,3.11E+000,3.06E+000,0.050589,4.89E-004,5.90E-004,0.0007660399
2.05E+012,3.11E+000,3.06E+000,0.050596,5.66E-004,6.94E-004,0.0008954291
2.05E+012,3.11E+000,3.06E+000,0.050593,4.94E-004,5.52E-004,0.000740981
2.06E+012,3.11E+000,3.06E+000,0.05058,5.91E-004,6.60E-004,0.0008861549
2.06E+012,3.11E+000,3.06E+000,0.050562,4.97E-004,5.38E-004,0.0007323255
2.07E+012,3.11E+000,3.06E+000,0.050545,4.53E-004,4.90E-004,0.0006675501
2.07E+012,3.11E+000,3.06E+000,0.050532,4.75E-004,6.84E-004,0.00083259
2.08E+012,3.11E+000,3.06E+000,0.05053,4.13E-004,5.30E-004,0.0006718753
2.08E+012,3.11E+000,3.06E+000,0.05054,4.79E-004,5.65E-004,0.0007405312
2.09E+012,3.11E+000,3.06E+000,0.050564,4.84E-004,6.68E-004,0.0008243115
2.09E+012,3.11E+000,3.06E+000,0.050598,5.31E-004,6.16E-004,0.0008129762
2.10E+012,3.11E+000,3.06E+000,0.050638,5.34E-004,6.79E-004,0.0008639538
2.10E+012,3.11E+000,3.06E+000,0.050676,5.72E-004,6.12E-004,0.0008373132
2.11E+012,3.11E+000,3.06E+000,0.050708,5.33E-004,6.22E-004,0.0008191215
2.11E+012,3.11E+000,3.06E+000,0.050729,5.16E-004,6.61E-004,0.000838706
2.12E+012,3.11E+000,3.06E+000,0.050737,6.00E-004,7.17E-004,0.0009347913
2.12E+012,3.11E+000,3.06E+000,0.050734,5.01E-004,5.84E-004,0.0007696558
2.13E+012,3.11E+000,3.06E+000,0.050725,5.70E-004,5.46E-004,0.0007890866
2.13E+012,3.11E+000,3.06E+000,0.050714,4.89E-004,6.55E-004,0.0008172392
2.13E+012,3.11E+000,3.06E+000,0.050707,4.75E-004,5.70E-004,0.0007416239
2.14E+012,3.11E+000,3.06E+000,0.050706,6.24E-004,6.27E-004,0.0008844423
2.14E+012,3.11E+000,3.06E+000,0.050715,5.94E-004,6.76E-004,0.0008997787
2.15E+012,3.11E+000,3.06E+000,0.050732,7.35E-004,6.47E-004,0.0009788416
2.15E+012,3.11E+000,3.06E+000,0.050756,6.51E-004,9.13E-004,0.0011213013
2.16E+012,3.11E+000,3.06E+000,0.050785,6.41E-004,7.44E-004,0.0009825606
2.16E+012,3.11E+000,3.06E+000,0.050816,6.31E-004,8.66E-004,0.0010713289
2.17E+012,3.11E+000,3.06E+000,0.050849,5.36E-004,7.65E-004,0.0009336801
2.17E+012,3.11E+000,3.06E+000,0.050885,4.58E-004,7.30E-004,0.0008618005
2.18E+012,3.11E+000,3.06E+000,0.050925,4.44E-004,9.23E-004,0.00102468
2.18E+012,3.11E+000,3.06E+000,0.050968,5.09E-004,6.93E-004,0.00085986
2.19E+012,3.11E+000,3.06E+000,0.051013,5.02E-004,6.97E-004,0.0008584839
2.19E+012,3.11E+000,3.06E+000,0.051053,6.29E-004,7.34E-004,0.0009669138
2.20E+012,3.11E+000,3.06E+000,0.051084,5.75E-004,7.07E-004,0.0009115692
2.20E+012,3.11E+000,3.06E+000,0.051099,5.91E-004,6.61E-004,0.0008864382
2.21E+012,3.11E+000,3.06E+000,0.051094,6.49E-004,6.02E-004,0.0008853182
2.21E+012,3.11E+000,3.06E+000,0.051069,5.99E-004,6.93E-004,0.0009160471
2.22E+012,3.11E+000,3.06E+000,0.051026,6.68E-004,6.67E-004,0.0009442561
2.22E+012,3.11E+000,3.06E+000,0.050974,6.91E-004,7.54E-004,0.0010233426
2.23E+012,3.11E+000,3.06E+000,0.050926,7.45E-004,6.98E-004,0.0010208433
2.23E+012,3.11E+000,3.06E+000,0.050894,7.51E-004,6.79E-004,0.0010126295
2.24E+012,3.11E+000,3.06E+000,0.050889,8.07E-004,9.05E-004,0.0012130453
2.24E+012,3.11E+000,3.06E+000,0.050919,8.05E-004,6.98E-004,0.0010653447
2.25E+012,3.11E+000,3.06E+000,0.050981,7.59E-004,8.92E-004,0.0011711638
2.25E+012,3.11E+000,3.06E+000,0.051068,8.61E-004,6.61E-004,0.0010851985
2.26E+012,3.11E+000,3.06E+000,0.051167,9.27E-004,7.40E-004,0.0011861864
2.26E+012,3.11E+000,3.06E+000,0.051261,1.07E-003,8.33E-004,0.0013587128
2.27E+012,3.11E+000,3.06E+000,0.051334,9.63E-004,7.76E-004,0.0012369355
2.27E+012,3.11E+000,3.06E+000,0.051374,9.25E-004,9.40E-004,0.0013194293
2.28E+012,3.11E+000,3.06E+000,0.051374,8.21E-004,6.99E-004,0.0010787564
2.28E+012,3.11E+000,3.06E+000,0.051336,6.43E-004,7.39E-004,0.0009799282
2.29E+012,3.11E+000,3.06E+000,0.051269,6.20E-004,7.74E-004,0.000992037
2.29E+012,3.11E+000,3.06E+000,0.051188,7.39E-004,7.54E-004,0.0010561519
2.30E+012,3.12E+000,3.06E+000,0.051108,8.60E-004,7.35E-004,0.001131018
2.30E+012,3.12E+000,3.06E+000,0.051042,9.08E-004,7.18E-004,0.0011572592
2.31E+012,3.12E+000,3.06E+000,0.050999,9.78E-004,7.69E-004,0.0012441019
2.31E+012,3.12E+000,3.06E+000,0.050985,9.34E-004,7.22E-004,0.0011802564
2.32E+012,3.12E+000,3.06E+000,0.051002,8.76E-004,7.30E-004,0.0011397076
2.32E+012,3.12E+000,3.06E+000,0.051049,7.44E-004,6.32E-004,0.0009760772
2.33E+012,3.12E+000,3.06E+000,0.051124,6.44E-004,6.63E-004,0.0009237186
2.33E+012,3.12E+000,3.06E+000,0.051222,7.45E-004,8.02E-004,0.0010942152
2.34E+012,3.12E+000,3.06E+000,0.051336,7.84E-004,8.09E-004,0.0011262379
2.34E+012,3.12E+000,3.06E+000,0.051456,8.52E-004,9.59E-004,0.0012826368
2.34E+012,3.12E+000,3.07E+000,0.051572,1.01E-003,9.28E-004,0.0013677352
2.35E+012,3.12E+000,3.07E+000,0.051672,1.05E-003,9.65E-004,0.001427171
2.35E+012,3.12E+000,3.07E+000,0.051746,1.28E-003,9.83E-004,0.0016126286
2.36E+012,3.12E+000,3.07E+000,0.051789,1.11E-003,9.36E-004,0.001455621
2.36E+012,3.12E+000,3.07E+000,0.051796,1.21E-003,9.12E-004,0.0015171182
2.37E+012,3.12E+000,3.07E+000,0.051767,1.18E-003,1.06E-003,0.0015856185
2.37E+012,3.12E+000,3.07E+000,0.051703,1.00E-003,1.01E-003,0.0014225665
2.38E+012,3.12E+000,3.07E+000,0.051609,9.35E-004,1.06E-003,0.0014123186
2.38E+012,3.12E+000,3.07E+000,0.051497,9.39E-004,1.10E-003,0.0014489635
2.39E+012,3.12E+000,3.07E+000,0.051379,9.89E-004,1.01E-003,0.0014148763
2.39E+012,3.12E+000,3.07E+000,0.051271,1.07E-003,1.09E-003,0.0015271988
2.40E+012,3.12E+000,3.07E+000,0.051185,1.07E-003,1.14E-003,0.0015609362
2.40E+012,3.12E+000,3.07E+000,0.051129,1.27E-003,1.17E-003,0.0017220871
2.41E+012,3.12E+000,3.07E+000,0.051101,1.09E-003,1.18E-003,0.0016079082
2.41E+012,3.12E+000,3.07E+000,0.051095,1.16E-003,1.27E-003,0.0017176651
2.42E+012,3.12E+000,3.07E+000,0.051102,1.16E-003,1.11E-003,0.0016025794
2.42E+012,3.12E+000,3.07E+000,0.051111,1.33E-003,1.32E-003,0.0018685974
2.43E+012,3.12E+000,3.07E+000,0.051114,1.22E-003,9.80E-004,0.0015675421
2.43E+012,3.12E+000,3.07E+000,0.051103,1.41E-003,1.04E-003,0.0017531191
2.44E+012,3.12E+000,3.07E+000,0.051076,1.43E-003,9.97E-004,0.0017436665
2.44E+012,3.12E+000,3.07E+000,0.051037,1.33E-003,9.97E-004,0.0016648907
2.45E+012,3.12E+000,3.07E+000,0.050994,1.41E-003,9.03E-004,0.0016759686
2.45E+012,3.12E+000,3.07E+000,0.050962,1.34E-003,1.05E-003,0.0017021278
2.46E+012,3.12E+000,3.07E+000,0.050952,1.43E-003,9.83E-004,0.0017369787
2.46E+012,3.12E+000,3.07E+000,0.050975,1.55E-003,9.92E-004,0.0018399754
2.47E+012,3.12E+000,3.07E+000,0.05103,1.65E-003,1.06E-003,0.0019583991
2.47E+012,3.12E+000,3.07E+000,0.051109,1.63E-003,1.13E-003,0.0019894778
2.48E+012,3.12E+000,3.07E+000,0.051194,1.72E-003,1.25E-003,0.002128703
2.48E+012,3.12E+000,3.07E+000,0.051265,1.90E-003,1.52E-003,0.0024303561
2.49E+012,3.12E+000,3.07E+000,0.051306,1.73E-003,1.31E-003,0.0021722749
2.49E+012,3.12E+000,3.07E+000,0.051308,1.74E-003,1.40E-003,0.0022300396
2.50E+012,3.12E+000,3.07E+000,0.051272,1.83E-003,1.16E-003,0.0021667355
2.50E+012,3.12E+000,3.07E+000,0.05121,1.88E-003,1.15E-003,0.0022001775
