freq            ,ref_ind         ,kappa           ,alpha           ,epsilon_r       ,epsilon_i       ,ref_ind_S       ,kappa_S         ,alpha_S         ,alpha_max       ,epsilonS_r      ,epsilonS_i      ,delta_N         ,delta_A         ,H_measure_r     ,H_measure_i     ,H_calc_r        ,H_calc_i        ,T_measure       ,T_calc          ,thickness       ,allThicknesses  ,QSnValue        ,QSkValue        ,Num_Thickness   ,N_std           ,delta_K         ,delta_Eps_1     ,delta_Eps_2     
+7.34328857e+010,+1.48602207e+000,-1.00000000e-002,-3.07594952e-001,+2.20816160e+000,-2.97204415e-002,+1.48455582e+000,-1.00000000e-002,-3.07807896e-001,+7.13990465e+001,+2.20380599e+000,-2.96911165e-002,+5.25153260e-003,+2.12497272e+000,+5.39120868e-002,-1.06580788e+000,+5.95962801e-002,-9.53044653e-001,+1.06717053e+000,+9.54906188e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+6.90356794e-002,+1.42116730e-002,+2.04869609e-001
+7.83284114e+010,+1.49680520e+000,-1.00000000e-002,-3.28101282e-001,+2.24032580e+000,-2.99361040e-002,+1.49381612e+000,-1.00000000e-002,-3.28328422e-001,+7.37958182e+001,+2.23138659e+000,-2.98763223e-002,+5.73378390e-003,+1.59533240e+000,-5.21194464e-002,-1.03609487e+000,-4.38722805e-002,-9.53839365e-001,+1.03740495e+000,+9.54847795e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+4.85895310e-002,+1.61586470e-002,+1.45052973e-001
+8.32239371e+010,+1.50218276e+000,-1.00000000e-002,-3.48607612e-001,+2.25645304e+000,-3.00436552e-002,+1.50218276e+000,-1.00000000e-002,-3.48848948e-001,+7.58502224e+001,+2.25645304e+000,-3.00436552e-002,+5.24552070e-003,+8.97897489e-001,-1.46788006e-001,-1.00684480e+000,-1.40696045e-001,-9.61176731e-001,+1.01748866e+000,+9.71419624e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+2.57388618e-002,+1.52446843e-002,+7.72240385e-002
+8.81194628e+010,+1.50164583e+000,-1.00000000e-002,-3.69113943e-001,+2.25484020e+000,-3.00329166e-002,+1.50164583e+000,-1.00000000e-002,-3.69369475e-001,+7.75270567e+001,+2.25484020e+000,-3.00329166e-002,+1.50045262e-003,+1.67329739e-001,-2.37900419e-001,-9.77720500e-001,-2.36357490e-001,-9.69477442e-001,+1.00624748e+000,+9.97873426e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+4.53014531e-003,+4.41569392e-003,+1.35753386e-002
+9.30149885e+010,+1.49754015e+000,-4.15639550e-003,-1.61941595e-001,+2.24260923e+000,-1.24487383e-002,+1.49754015e+000,-4.15639550e-003,-1.62053704e-001,+7.88451901e+001,+2.24260923e+000,-1.24487383e-002,+1.82988171e-004,+7.13868390e-003,-3.29574112e-001,-9.45115376e-001,-3.29574112e-001,-9.45115376e-001,+1.00093065e+000,+1.00093065e+000,                ,+2.00000000e-003,                ,                ,                ,                ,+1.83094818e-004,+5.46542239e-004,+5.46862542e-004
+9.79105142e+010,+1.49253469e+000,-6.45678156e-005,-2.64809789e-003,+2.22765979e+000,-1.92739409e-004,+1.49253469e+000,-6.45678156e-005,-2.64993113e-003,+7.98542556e+001,+2.22765979e+000,-1.92739409e-004,+1.57576724e-004,+6.47048424e-003,-4.22333718e-001,-9.04461713e-001,-4.22333718e-001,-9.04461713e-001,+9.98206772e-001,+9.98206772e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.57658827e-004,+4.70357094e-004,+4.70602188e-004
+1.02806040e+011,+1.48827865e+000,+8.53621279e-004,+3.67597435e-002,+2.21497261e+000,+2.54085265e-003,+1.48827865e+000,+8.53621279e-004,+3.67851917e-002,+8.06220914e+001,+2.21497261e+000,+2.54085265e-003,+1.39432486e-004,+6.01139485e-003,-5.13326403e-001,-8.51921407e-001,-5.13326403e-001,-8.51921407e-001,+9.94622581e-001,+9.94622581e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.39497834e-004,+4.15266941e-004,+4.15461340e-004
+1.07701566e+011,+1.48560210e+000,-2.15641618e-004,-9.72844004e-003,+2.20701355e+000,-6.40715279e-004,+1.48560210e+000,-2.15641618e-004,-9.73517490e-003,+8.12216901e+001,+2.20701355e+000,-6.40715279e-004,+1.26077974e-004,+5.69422849e-003,-5.97169823e-001,-7.86344102e-001,-5.97169823e-001,-7.86344102e-001,+9.87394979e-001,+9.87394979e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.26131544e-004,+3.74549007e-004,+3.74708198e-004
+1.12597091e+011,+1.48476545e+000,-2.08990242e-003,-9.85693265e-002,+2.20452406e+000,-6.20602979e-003,+1.48476545e+000,-2.08990242e-003,-9.86375646e-002,+8.17139742e+001,+2.20452406e+000,-6.20602979e-003,+1.15850814e-004,+5.46995718e-003,-6.68378339e-001,-7.10763160e-001,-6.68378339e-001,-7.10763160e-001,+9.75660737e-001,+9.75660737e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.15895772e-004,+3.43538150e-004,+3.43671843e-004
+1.17492617e+011,+1.48557119e+000,-3.70431626e-003,-1.82308637e-001,+2.20690805e+000,-1.10060511e-002,+1.48557119e+000,-3.70431626e-003,-1.82434847e-001,+8.21300804e+001,+2.20690805e+000,-1.10060511e-002,+1.07681469e-004,+5.30512597e-003,-7.24796082e-001,-6.31583356e-001,-7.24796082e-001,-6.31583356e-001,+9.61367202e-001,+9.61367202e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.07719905e-004,+3.19138921e-004,+3.19253404e-004
+1.22388143e+011,+1.48739461e+000,-4.24869007e-003,-2.17812603e-001,+2.21232469e+000,-1.26389575e-002,+1.48739461e+000,-4.24869007e-003,-2.17963392e-001,+8.24638020e+001,+2.21232469e+000,-1.26389575e-002,+1.00972818e-004,+5.18174852e-003,-7.69376511e-001,-5.55019966e-001,-7.69376511e-001,-5.55019966e-001,+9.48676646e-001,+9.48676646e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.01006152e-004,+2.99514565e-004,+2.99614009e-004
+1.27283668e+011,+1.48926933e+000,-3.41547440e-003,-1.82100999e-001,+2.21791146e+000,-1.01731225e-002,+1.48926933e+000,-3.41547440e-003,-1.82227065e-001,+8.26805651e+001,+2.21791146e+000,-1.01731225e-002,+9.55017361e-005,+5.09690054e-003,-8.08460578e-001,-4.83389319e-001,-8.08460578e-001,-4.83389319e-001,+9.41952090e-001,+9.41952090e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+9.55309978e-005,+2.83803045e-004,+2.83890402e-004
+1.32179194e+011,+1.49026767e+000,-1.63538650e-003,-9.05465938e-002,+2.22089505e+000,-4.87432725e-003,+1.49026767e+000,-1.63538650e-003,-9.06092779e-002,+8.27366201e+001,+2.22089505e+000,-4.87432725e-003,+9.13032585e-005,+5.06013501e-003,-8.48101768e-001,-4.14048905e-001,-8.48101767e-001,-4.14048905e-001,+9.43775982e-001,+9.43775982e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+9.13292399e-005,+2.71833871e-004,+2.71911394e-004
+1.37074720e+011,+1.49007322e+000,+1.52795943e-004,+8.77319532e-003,+2.22031819e+000,+4.55354286e-004,+1.49007322e+000,+1.52795943e-004,+8.77926887e-003,+8.25971832e+001,+2.22031819e+000,+4.55354286e-004,+8.85431430e-005,+5.08881148e-003,-8.91122754e-001,-3.40882575e-001,-8.91122754e-001,-3.40882575e-001,+9.54096794e-001,+9.54096794e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+8.85665718e-005,+2.63898598e-004,+2.63968413e-004
+1.41970246e+011,+1.48909344e+000,+1.15317785e-003,+6.85775925e-002,+2.21739795e+000,+3.43437914e-003,+1.48909344e+000,+1.15317785e-003,+6.86250678e-002,+8.22487410e+001,+2.21739795e+000,+3.43437914e-003,+8.74114720e-005,+5.20309673e-003,-9.35705313e-001,-2.56694760e-001,-9.35705313e-001,-2.56694760e-001,+9.70276575e-001,+9.70276575e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+8.74330051e-005,+2.60529351e-004,+2.60593431e-004
+1.46865771e+011,+1.48806700e+000,+1.09202721e-003,+6.71804114e-002,+2.21434220e+000,+3.25001930e-003,+1.48806700e+000,+1.09202721e-003,+6.72269195e-002,+8.17065137e+001,+2.21434220e+000,+3.25001930e-003,+8.80559226e-005,+5.42210705e-003,-9.74968212e-001,-1.55880252e-001,-9.74968212e-001,-1.55880252e-001,+9.87350833e-001,+9.87350833e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+8.80761529e-005,+2.62258588e-004,+2.62318752e-004
+1.51761297e+011,+1.48769971e+000,+2.07930826e-004,+1.32180843e-002,+2.21325039e+000,+6.18677260e-004,+1.48769971e+000,+2.07930826e-004,+1.32272350e-002,+8.10176946e+001,+2.21325039e+000,+6.18677260e-004,+9.05384702e-005,+5.76071946e-003,-9.97727408e-001,-3.78448244e-002,-9.97727408e-001,-3.78448244e-002,+9.98444897e-001,+9.98444897e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+9.05579401e-005,+2.69425771e-004,+2.69483694e-004
+1.56656823e+011,+1.48844626e+000,-8.38052629e-004,-5.49932284e-002,+2.21547158e+000,-2.49479261e-003,+1.48844626e+000,-8.38052629e-004,-5.50312994e-002,+8.02568715e+001,+2.21547158e+000,-2.49479261e-003,+9.47876415e-005,+6.22555404e-003,-9.92256561e-001,+8.92524898e-002,-9.92256561e-001,+8.92524898e-002,+9.96262561e-001,+9.96262561e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+9.48068097e-005,+2.82013716e-004,+2.82070809e-004
+1.61552348e+011,+1.49024420e+000,-1.07627164e-003,-7.28322594e-002,+2.22082662e+000,-3.20781515e-003,+1.49024420e+000,-1.07627164e-003,-7.28826801e-002,+7.95065801e+001,+2.22082662e+000,-3.20781515e-003,+1.00530639e-004,+6.80900274e-003,-9.54295113e-001,+2.08268067e-001,-9.54295113e-001,+2.08268067e-001,+9.76757262e-001,+9.76757262e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.00549768e-004,+2.99413967e-004,+2.99471020e-004
+1.66447874e+011,+1.49215881e+000,+3.41187251e-004,+2.37880946e-002,+2.22653781e+000,+1.01821113e-003,+1.49215881e+000,+3.41187251e-004,+2.38045627e-002,+7.88234025e+001,+2.22653781e+000,+1.01821113e-003,+1.07197080e-004,+7.48046491e-003,-8.94378950e-001,+3.01582164e-001,-8.94378950e-001,+3.01582164e-001,+9.43856721e-001,+9.43856721e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.07216389e-004,+3.19983297e-004,+3.20040908e-004
+1.71343400e+011,+1.49256044e+000,+3.12912403e-003,+2.24583976e-001,+2.22772688e+000,+9.34081348e-003,+1.49256044e+000,+3.12912403e-003,+2.24739452e-001,+7.82099800e+001,+2.22772688e+000,+9.34081348e-003,+1.13841996e-004,+8.17773229e-003,-8.34154206e-001,+3.64701189e-001,-8.34154206e-001,+3.64701189e-001,+9.10395626e-001,+9.10395626e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.13861355e-004,+3.40544693e-004,+3.40602360e-004
+1.76238926e+011,+1.49069585e+000,+5.40013920e-003,+3.98653334e-001,+2.22214497e+000,+1.60999302e-002,+1.49069585e+000,+5.40013920e-003,+3.98929316e-001,+7.76184515e+001,+2.22214497e+000,+1.60999302e-002,+1.19364689e-004,+8.81934810e-003,-7.91522904e-001,+4.10797175e-001,-7.91522904e-001,+4.10797175e-001,+8.91775099e-001,+8.91775099e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.19383824e-004,+3.57162272e-004,+3.57219116e-004
+1.81134451e+011,+1.48794845e+000,+5.43954485e-003,+4.12716879e-001,+2.21396100e+000,+1.61875246e-002,+1.48794845e+000,+5.43954485e-003,+4.13002597e-001,+7.69843472e+001,+2.21396100e+000,+1.61875246e-002,+1.23251305e-004,+9.35938371e-003,-7.69006877e-001,+4.61228249e-001,-7.69006877e-001,+4.61228249e-001,+8.96717946e-001,+8.96717946e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.23269897e-004,+3.68124239e-004,+3.68179365e-004
+1.86029977e+011,+1.48638267e+000,+3.57568110e-003,+2.78631569e-001,+2.20932067e+000,+1.06296609e-002,+1.48638267e+000,+3.57568110e-003,+2.78824462e-001,+7.62651316e+001,+2.20932067e+000,+1.06296609e-002,+1.26139283e-004,+9.83749215e-003,-7.53652741e-001,+5.32499364e-001,-7.53652741e-001,+5.32499364e-001,+9.22793600e-001,+9.22793600e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.26157277e-004,+3.75884686e-004,+3.75938048e-004
+1.90925503e+011,+1.48668771e+000,+1.45124814e-003,+1.16063117e-001,+2.21023825e+000,+4.31510556e-003,+1.48668771e+000,+1.45124814e-003,+1.16143465e-001,+7.54604911e+001,+2.21023825e+000,+4.31510556e-003,+1.29381337e-004,+1.03557981e-002,-7.24228643e-001,+6.27834587e-001,-7.24228643e-001,+6.27834587e-001,+9.58479732e-001,+9.58479732e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.29398866e-004,+3.85074869e-004,+3.85126938e-004
+1.95821028e+011,+1.48814365e+000,+2.37271756e-004,+1.94622918e-002,+2.21457147e+000,+7.06188914e-004,+1.48814365e+000,+2.37271756e-004,+1.94757653e-002,+7.46079516e+001,+2.21457147e+000,+7.06188914e-004,+1.34214174e-004,+1.10180048e-002,-6.61617461e-001,+7.34130997e-001,-6.61617461e-001,+7.34130997e-001,+9.88274246e-001,+9.88274246e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.34231508e-004,+3.99523639e-004,+3.99575225e-004
+2.00716554e+011,+1.48982863e+000,+1.29950661e-004,+1.09257258e-002,+2.21958933e+000,+3.87208431e-004,+1.48982863e+000,+1.29950661e-004,+1.09332895e-002,+7.37573880e+001,+2.21958933e+000,+3.87208431e-004,+1.41418386e-004,+1.18995838e-002,-5.60846112e-001,+8.26393307e-001,-5.60846112e-001,+8.26393307e-001,+9.98736331e-001,+9.98736331e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.41435822e-004,+4.21415080e-004,+4.21467027e-004
+2.05612080e+011,+1.49117474e+000,+9.38004988e-004,+8.07871678e-002,+2.22360123e+000,+2.79745869e-003,+1.49117474e+000,+9.38004988e-004,+8.08430956e-002,+7.29356795e+001,+2.22360123e+000,+2.79745869e-003,+1.51426904e-004,+1.30524488e-002,-4.37516397e-001,+8.82286200e-001,-4.37516397e-001,+8.82286200e-001,+9.84809391e-001,+9.84809391e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.51444746e-004,+4.51892062e-004,+4.51945238e-004
+2.10507606e+011,+1.49173397e+000,+2.40644318e-003,+2.12193469e-001,+2.22526446e+000,+7.17954610e-003,+1.49173397e+000,+2.40644318e-003,+2.12340367e-001,+7.21233625e+001,+2.22526446e+000,+7.17954610e-003,+1.64413587e-004,+1.45092013e-002,-3.18860711e-001,+8.98269355e-001,-3.18860711e-001,+8.98269355e-001,+9.53184130e-001,+9.53184130e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.64432081e-004,+4.91314060e-004,+4.91369147e-004
+2.15403131e+011,+1.49105982e+000,+3.95334617e-003,+3.56701936e-001,+2.22324376e+000,+1.17893513e-002,+1.49105982e+000,+3.95334617e-003,+3.56948876e-001,+7.12613956e+001,+2.22324376e+000,+1.17893513e-002,+1.80109215e-004,+1.62638655e-002,-2.24668904e-001,+8.91314505e-001,-2.24668904e-001,+8.91314505e-001,+9.19194029e-001,+9.19194029e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.80128570e-004,+5.38531448e-004,+5.38589015e-004
+2.20298657e+011,+1.48923007e+000,+4.47913818e-003,+4.13328088e-001,+2.21778613e+000,+1.33409345e-002,+1.48923007e+000,+4.47913818e-003,+4.13614229e-001,+7.02805428e+001,+2.21778613e+000,+1.33409345e-002,+1.97693864e-004,+1.82573868e-002,-1.55874171e-001,+8.85364781e-001,-1.55874171e-001,+8.85364781e-001,+8.98981398e-001,+8.98981398e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+1.97714083e-004,+5.90594470e-004,+5.90654511e-004
+2.25194183e+011,+1.48745226e+000,+3.09328675e-003,+2.91787013e-001,+2.21250464e+000,+9.20223271e-003,+1.48745226e+000,+3.09328675e-003,+2.91989013e-001,+6.91309632e+001,+2.21250464e+000,+9.20223271e-003,+2.16462496e-004,+2.04348456e-002,-9.71505947e-002,+8.96632610e-001,-9.71505946e-002,+8.96632610e-001,+9.01880411e-001,+9.01880411e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+2.16483616e-004,+6.45294548e-004,+6.45357246e-004
+2.30089708e+011,+1.48748738e+000,+3.23887570e-004,+3.12162036e-002,+2.21261859e+000,+9.63557344e-004,+1.48748738e+000,+3.23887570e-004,+3.12378141e-002,+6.78011126e+001,+2.21261859e+000,+9.63557344e-004,+2.37022683e-004,+2.28621395e-002,-2.64865870e-002,+9.25917507e-001,-2.64865870e-002,+9.25917507e-001,+9.26296264e-001,+9.26296264e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+2.37044845e-004,+7.05290051e-004,+7.05355968e-004
+2.34985234e+011,+1.48997439e+000,-1.85113317e-003,-1.82207750e-001,+2.22002026e+000,-5.51628203e-003,+1.48997439e+000,-1.85113317e-003,-1.82333889e-001,+6.63279245e+001,+2.22002026e+000,-5.51628203e-003,+2.61579195e-004,+2.57674838e-002,+7.34852478e-002,+9.57193382e-001,+7.34852479e-002,+9.57193382e-001,+9.60010027e-001,+9.60010027e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+2.61602734e-004,+7.78524083e-004,+7.78594313e-004
+2.39880760e+011,+1.49358591e+000,-1.74171429e-003,-1.75009224e-001,+2.23079585e+000,-5.20279986e-003,+1.49358591e+000,-1.74171429e-003,-1.75130381e-001,+6.48005413e+001,+2.23079585e+000,-5.20279986e-003,+2.92787013e-004,+2.94424639e-002,+2.03127465e-001,+9.63232279e-001,+2.03127465e-001,+9.63232279e-001,+9.84417183e-001,+9.84417183e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+2.92812474e-004,+8.73585124e-004,+8.73661270e-004
+2.44776286e+011,+1.49636178e+000,+6.59494291e-004,+6.76190383e-002,+2.23909813e+000,+1.97368410e-003,+1.49636178e+000,+6.59494291e-004,+6.76658500e-002,+6.33551128e+001,+2.23909813e+000,+1.97368410e-003,+3.31837407e-004,+3.40502513e-002,+3.38150921e-001,+9.22801160e-001,+3.38150921e-001,+9.22801160e-001,+9.82806200e-001,+9.82806200e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+3.31865282e-004,+9.93535352e-004,+9.93618735e-004
+2.49671811e+011,+1.49698905e+000,+4.26157239e-003,+4.45684973e-001,+2.24095805e+000,+1.27590544e-002,+1.49698905e+000,+4.26157239e-003,+4.45993514e-001,+6.21543623e+001,+2.24095805e+000,+1.27590544e-002,+3.75460156e-004,+3.92968416e-002,+4.42273602e-001,+8.44097902e-001,+4.42273602e-001,+8.44097902e-001,+9.52946592e-001,+9.52946592e-001,                ,+2.00000000e-003,                ,                ,                ,                ,+3.75490517e-004,+1.12731984e-003,+1.12741049e-003
