,freq,bf_ZigZag 2 mm,bf_err_ZigZag 2 mm,bf_S1,bf_err_S1,bf_Line 2 mm,bf_err_Line 2 mm,bf_Line 8 mm,bf_err_Line 8 mm
0,78.3284114,-0.0032519200000000748,0.003361090608877034,0.021762059999999916,0.0019223707691073191,0.02529347000000004,0.010411150357354904,0.015976720000000055,0.0005325697447782475
1,83.2239371,-0.003645539999999947,0.0025654200629131618,0.027935929999999942,0.0018271636052252127,0.02565848000000015,0.007821679238975044,0.01597265999999986,0.0004195620810338864
2,88.1194628,-0.003500390000000131,0.00031300372971301187,0.02600986999999999,0.0009618294483168936,0.025144440000000046,0.00152076245098454,0.015833449999999916,0.00027563621259993397
3,93.0149885,-0.00307226000000016,0.0002608699752215003,0.027709739999999927,0.0006940428338038919,0.02462491,0.0002760471730052039,0.017307769999999945,0.00019821864530049645
4,97.9105142,-0.002542840000000046,0.0002244820067188706,0.029907979999999945,0.0015605958714449337,0.024397829999999843,0.00023786010115252725,0.016548499999999855,0.0004082080871534182
5,102.80604,-0.0019690900000000067,0.0001984477938103025,0.02714762000000004,0.0005698531793164047,0.024532919999999958,0.00021067465440820408,0.016292310000000088,0.00015844486834017598
6,107.701566,-0.0013664199999998683,0.000179202469720451,0.023931890000000067,0.0005767079466821088,0.025059759999999986,0.00019072507682035204,0.015587859999999898,0.0001567542112136154
7,112.597091,-0.0007638600000001716,0.0001643805209903435,0.022947779999999973,0.0007107583461159013,0.02596610999999993,0.00017547273506256814,0.015337900000000015,0.00019816666525488823
8,117.492617,-0.00025500000000011624,0.00015249047153637104,0.022921320000000023,0.0006104534538078966,0.027099380000000117,0.00016326698627918638,0.014643469999999992,0.00017942925844762029
9,122.388143,-7.499999999938112e-06,0.0001427321829920227,0.023052480000000042,0.0003902743427200411,0.028035310000000147,0.00015317775776524793,0.015981259999999997,0.000109086702181855
10,127.283668,-0.0001248200000001365,0.00013483315807391388,0.023118659999999958,0.0004143560840002453,0.028211949999999986,0.0001448653184724917,0.01644554999999981,0.00011622398590146586
11,132.179194,-0.0004980499999998056,0.0001288587047178766,0.024574059999999953,0.0005862361805247707,0.02751250999999999,0.00013840800852181736,0.01611034,0.00015808251490273415
12,137.07472,-0.0009339799999998899,0.0001250242359009453,0.02586857000000009,0.000516957873065093,0.02642509999999998,0.00013409550902642223,0.016438820000000076,0.00013952786435149998
13,141.970246,-0.0013196200000000768,0.00012355766945879504,0.020596939999999897,0.0004380033599242057,0.02548229000000002,0.00013225348883615966,0.015075640000000057,0.0001209774288250524
14,146.865771,-0.0016285899999999298,0.0001246194258010878,0.023012849999999974,0.0003766419089384078,0.024969650000000065,0.00013314021892459442,0.01605312999999997,0.00010401723292957602
15,151.761297,-0.0018761499999999653,0.0001282419802289081,0.023851099999999903,0.0005059570337921657,0.025019080000000082,0.00013688708065326475,0.015665779999999963,0.00014983041857767867
16,156.656823,-0.002082660000000125,0.00013424250788474592,0.02413807000000001,0.00043066712878299607,0.025705190000000044,0.00014342829808891994,0.016412199999999988,0.0001246087580352931
17,161.552348,-0.0022359800000000263,0.0001420954029979293,0.025672770000000122,0.0005863821846238806,0.026978509999999956,0.00015237786078798962,0.017021040000000154,0.00016685749473870586
18,166.447874,-0.0022614999999999164,0.00015080957568491422,0.02611255999999984,0.0005467006529054618,0.02840749999999992,0.00016282982311232921,0.016424470000000024,0.00015550980260658063
19,171.3434,-0.002103299999999919,0.00015899492796419645,0.02495733000000011,0.000526566947690921,0.029206789999999927,0.00017318929912830098,0.016572720000000096,0.00014290476056890342
20,176.238926,-0.0018620800000002102,0.0001654513226211665,0.02581688999999998,0.0006113452363650403,0.029140369999999916,0.00018157026603554734,0.016587130000000005,0.00016878165582238854
21,181.134451,-0.001680719999999969,0.0001701150706270761,0.022174680000000002,0.0005543995712446666,0.028700940000000008,0.00018712935262945574,0.01648885,0.0001527063846379251
22,186.029977,-0.0015935599999998828,0.00017429221930833898,0.021936900000000037,0.0006038423391827517,0.028206979999999993,0.00019100860093183015,0.017063890000000193,0.0001698154245044694
23,190.925503,-0.0015650700000000572,0.00017982929349814986,0.02108318999999992,0.0007196898112056655,0.02773654999999997,0.00019551475438619404,0.016449119999999873,0.00020534310635660706
24,195.821028,-0.0015637600000000251,0.00018825481575703915,0.024594930000000126,0.000761569123802585,0.02753760999999999,0.00020272990214065094,0.016720969999999946,0.00021128104576203214
25,200.716554,-0.001573779999999969,0.00020053548778202124,0.02472035000000017,0.0006702072335980587,0.02793610999999996,0.00021400716587268763,0.016706579999999915,0.0001892875454660022
26,205.61208,-0.001572890000000049,0.00021712731840061928,0.01958937000000005,0.0007119726147369446,0.029006419999999977,0.0002301462663490456,0.01626982999999993,0.00019952998062845403
27,210.507606,-0.001526829999999979,0.00023777015703983464,0.021973559999999948,0.0009364816929574844,0.030331050000000026,0.0002514185639815617,0.016496569999999933,0.0002686268705077794
28,215.403131,-0.0014404100000000586,0.0002609951300684905,0.02229002000000002,0.0008437345473586791,0.031018140000000027,0.0002770098865382459,0.016190600000000055,0.0002448760624252433
29,220.298657,-0.0013959599999999739,0.00028448699741358784,0.022831459999999915,0.0009936779756449863,0.03052379999999988,0.0003046347804578086,0.016494599999999915,0.0002750130185605352
30,225.194183,-0.0014557399999999276,0.0003073331517409697,0.02547761000000004,0.0010350407192611826,0.029448700000000105,0.00033207460932038746,0.016850599999999938,0.00028631414031255
31,230.089708,-0.0015750699999999007,0.0003320646965209464,0.022526610000000113,0.0011515726825870602,0.02876456000000016,0.0003601426611275133,0.015930309999999892,0.0003089126942962339
32,234.985234,-0.0016728800000000987,0.00036382388828526434,0.018506890000000054,0.0016439532230569144,0.02874964999999996,0.0003932310457432774,0.016758669999999976,0.0004383727645591808
33,239.88076,-0.001725060000000056,0.0004081811575001792,0.021960119999999916,0.0013229570074335935,0.029370990000000097,0.0004367664207178798,0.016130570000000066,0.00037051078874700554
34,244.776286,-0.0017182299999998207,0.00046932523177789634,0.02193208999999996,0.0015493216664380848,0.030945710000000126,0.0004943243612931398,0.016509019999999985,0.0004584903630390486
35,249.671811,-0.0015585499999999364,0.0005457989098988387,0.021241520000000014,0.0019326941321299925,0.03352116999999999,0.0005638935030188082,0.017025120000000005,0.0005923026984233559
